Date,Value,Sentiment
3/11/2025,75,Extreme Greed
3/12/2025,60,Greed
3/13/2025,35,Fear
3/14/2025,70,Greed
3/15/2025,65,Greed
3/16/2025,30,Fear
3/17/2025,70,Greed
3/18/2025,45,Neutral
3/19/2025,80,Extreme Greed
3/20/2025,35,Fear
3/21/2025,40,Fear
3/22/2025,45,Neutral
3/23/2025,70,Greed
3/24/2025,75,Extreme Greed
3/25/2025,60,Neutral
3/26/2025,55,Neutral
3/27/2025,65,Neutral
3/28/2025,45,Fear
3/29/2025,50,Neutral
3/30/2025,40,Fear
3/31/2025,35,Fear
4/1/2025,55,Neutral
4/2/2025,75,Greed
4/3/2025,50,Neutral
4/4/2025,60,Neutral
4/5/2025,65,Neutral
4/6/2025,30,Fear
4/7/2025,20,Extreme Fear
4/8/2025,25,Extreme Fear
4/9/2025,15,Extreme Fear
4/10/2025,50,Neutral
4/11/2025,45,Fear
4/12/2025,60,Neutral
4/13/2025,70,Neutral
4/14/2025,55,Neutral
4/15/2025,60,Neutral
4/16/2025,50,Neutral
4/17/2025,65,Neutral
4/18/2025,70,Neutral
4/19/2025,70,Greed
4/20/2025,40,Fear
4/21/2025,65,Greed
4/22/2025,85,Extreme Greed
4/23/2025,60,Greed
4/24/2025,45,Neutral
4/25/2025,65,Greed
4/26/2025,60,Greed
4/27/2025,35,Fear
4/28/2025,70,Greed
4/29/2025,40,Fear
4/30/2025,35,Fear
5/1/2025,75,Extreme Greed
5/2/2025,50,Neutral
5/3/2025,35,Fear
5/4/2025,30,Fear
5/5/2025,55,Neutral
5/6/2025,65,Greed
5/7/2025,50,Neutral
5/8/2025,85,Extreme Greed
5/9/2025,60,Greed
5/10/2025,80,Extreme Greed
5/11/2025,35,Fear
5/12/2025,30,Fear
5/13/2025,75,Extreme Greed
5/14/2025,40,Fear
5/15/2025,35,Fear
5/16/2025,45,Neutral
5/17/2025,30,Fear
5/18/2025,70,Greed
5/19/2025,35,Fear
