Date,BTC_Open,BTC_Close,BTC_High,BTC_Low,BTC_Volatility,ETH_Open,ETH_Close,ETH_High,ETH_Low,ETH_Volatility,Value,Sentiment,Headline_1,Headline_2,Headline_3,Post_1,Post_2,Post_3,Sentiment_1,Sentiment_2,Sentiment_3,USD_Balance,Portfolio_Value_USD,TradeID,Pair,Type,Price,Quantity,TotalCost,ProfitLoss,Coin,TF,Position,Risk,PnL$,R/Factor,Complete,Notes,Day_of_Week,Sentiment_Score,Social_Sentiment_1,Social_Sentiment_2,Social_Sentiment_3,BTC_Daily_Return,ETH_Daily_Return
2025-03-11,78579.7,82921.1,83572.6,76677.1,8.83,1865.07,1922.28,1961.1,1766.97,10.57,75,Extreme Greed,BTC Surges 5.53% to 82921 on ETF Hopes,ETH Gains 3.10% to 1922 Amid Staking Buzz,Binance Faces New Regulatory Probe,BTC hitting 82921 with high volume,ETH climbing to 1922 as market gains momentum,Trumps crypto policies boosting market sentiment,Positive,Positive,Positive,950.1,955.11,1,BTC/USD,Buy,82921.1,0.000602,49.9,-10.0,BTC,Daily,Long,10.0,-10.0,-1,Yes,Loss,Tuesday,4,1,1,1,5.524836567205027,3.0674451897247845
2025-03-12,82921.1,83664.3,84266.5,80646.6,4.37,1923.22,1908.22,1955.5,1833.7,6.28,60,Greed,BTC Hits 83664 as Bulls Hold Strong,ETH Dips to 1908 in Profit Taking,Solana NFT Market Sees Record Volume,BTC increasing to 83664 amid ETF inflows,ETH decreasing to 1908 with profit taking,Trumps SEC nominee signaling regulatory relief,Positive,Negative,Positive,667.57,1000.6,2,ETH/USD,Sell,1908.22,0.174,332.03,49.5,ETH,Daily,Short,9.9,49.5,5,Yes,Win,Wednesday,3,1,-1,1,0.8962736866732315,-0.7799419723172596
2025-03-13,83664.7,81100.2,84292.0,79954.9,5.25,1906.05,1864.69,1916.35,1823.72,4.85,35,Fear,BTC Falls 3.06% to 81100 Amid Volatility,ETH Stable at 1864 Awaits Catalyst,Cardano Upgrade Boosts ADA Sentiment,BTC decreasing to 81100 as market cools,ETH dropping to 1865 amid volatility,Inflation data sparking crypto market caution,Negative,Negative,Negative,627.97,976.46,3,BTC/USD,Sell,81100.2,0.000614,49.8,-10.39,BTC,Daily,Short,10.39,-10.39,-1,Yes,Loss,Thursday,1,-1,-1,-1,-3.065211493019159,-2.1699325830906795
2025-03-14,81103.5,83977.1,85286.6,80833.2,5.59,1863.57,1911.62,1945.25,1861.63,4.53,70,Greed,BTC Recovers to 83977 with 3.55% Gain,ETH Up 2.00% to 1911 on DeFi Hype,SEC Delays BTC ETF Decision,BTC recovering to 83977 with strong buying,ETH rising to 1912 on DeFi optimism,BlackRock ETF reporting strong inflows,Positive,Positive,Positive,291.39,614.78,4,ETH/USD,Buy,1911.62,0.171,326.89,-10.29,ETH,Daily,Long,10.29,-10.29,-1,Yes,Loss,Friday,3,1,1,1,3.5431269920533714,2.578384498569947
2025-03-15,83978.7,84341.3,84679.5,83636.4,1.24,1910.71,1937.17,1954.5,1904.3,2.63,65,Greed,BTC Steady at 84341 Despite Resistance,ETH Slightly Up to 1937,Polygon Announces 50M Web3 Grant,BTC increasing to 84341 with ETF support,ETH gaining to 1937 amid staking surge,Trump forming crypto task force for regulation,Positive,Positive,Positive,342.38,669.77,5,BTC/USD,Buy,84341.3,0.000592,49.96,50.95,BTC,Daily,Long,10.19,50.95,5,Yes,Win,Saturday,3,1,1,1,0.4317761527625527,1.384825536057279
2025-03-16,84341.3,82578.4,84942.5,82014.2,3.46,1936.53,1887.65,1940.61,1863.28,4.07,30,Fear,BTC Drops 2.09% to 82578,ETH Falls 2.56% to 1887,Solana Outage Sparks Network Concerns,BTC decreasing to 82578 on weekend profit taking,ETH falling to 1888 as investors pause,Market cap dipping below 3 trillion,Negative,Negative,Negative,321.68,638.58,6,ETH/USD,Sell,1887.65,0.17,320.9,-10.69,ETH,Daily,Short,10.69,-10.69,-1,Yes,Loss,Sunday,1,-1,-1,-1,-2.0901978034486173,-2.5241023893252303
2025-03-17,82580.3,84019.1,84729.2,82525.0,2.66,1886.66,1926.35,1951.93,1880.49,3.65,70,Greed,BTC Climbs 1.74% to 84019,ETH Gains 2.05% to 1926,New EU Crypto KYC Rules Proposed,BTC climbing to 84019 with ETF buying,ETH rising to 1926 on DeFi growth,SEC leadership change fueling crypto optimism,Positive,Positive,Positive,261.1,579.05,7,BTC/USD,Sell,84019.1,0.000595,50.0,-10.58,BTC,Daily,Short,10.58,-10.58,-1,Yes,Loss,Monday,3,1,1,1,1.742304157286911,2.1037176809811955
2025-03-18,84019.1,82719.1,84019.1,81171.3,3.49,1926.94,1932.61,1934.56,1873.19,3.17,45,Neutral,BTC Dips 1.55% to 82719,ETH Slightly Up to 1932,Chainlink ETH Integration Drives Rally,BTC decreasing to 82719 amid regulatory talks,ETH increasing to 1933 with staking rewards,Altcoins stabilizing with modest gains,Negative,Positive,Neutral,596.5,912.45,8,ETH/USD,Buy,1932.61,0.164,316.95,52.35,ETH,Daily,Long,10.47,52.35,5,Yes,Win,Tuesday,2,-1,1,0,-1.547267228523038,0.29424891278399146
2025-03-19,82719.1,86841.0,86990.6,82557.5,5.29,1931.79,2056.62,2069.43,1927.77,7.48,80,Extreme Greed,BTC Soars 4.98% to 86841,ETH Jumps 6.42% to 2056,MicroStrategy Boosts BTC Holdings,BTC increasing to 86841 as whales buy in,ETH jumping to 2057 on ETF speculation,DeFi sector seeing robust TVL growth,Positive,Positive,Positive,535.46,860.99,9,BTC/USD,Buy,86841.0,0.000576,50.03,-10.99,BTC,Daily,Long,10.99,-10.99,-1,Yes,Loss,Wednesday,4,1,1,1,4.98300876097539,6.461882502756507
2025-03-20,86841.3,84208.1,87419.0,83656.1,4.35,2056.11,1983.57,2066.45,1952.95,5.51,35,Fear,BTC Falls 3.03% to 84208,ETH Drops 3.55% to 1983,DeFi Hack Drains 8M from Protocol,BTC decreasing to 84208 after rally,ETH dipping to 1984 as profits taken,Trumps task force focusing on stablecoin rules,Negative,Negative,Negative,524.58,839.91,10,ETH/USD,Sell,1983.57,0.159,315.33,-10.88,ETH,Daily,Short,10.88,-10.88,-1,Yes,Loss,Thursday,1,-1,-1,-1,-3.032197813713057,-3.528021360724873
