Date,Post_1,Post_2,Post_3,Sentiment_1,Sentiment_2,Sentiment_3
3/11/2025,BTC hitting 82921 with high volume,ETH climbing to 1922 as market gains momentum,Trumps crypto policies boosting market sentiment,Positive,Positive,Positive
3/12/2025,BTC increasing to 83664 amid ETF inflows,ETH decreasing to 1908 with profit taking,Trumps SEC nominee signaling regulatory relief,Positive,Negative,Positive
3/13/2025,BTC decreasing to 81100 as market cools,ETH dropping to 1865 amid volatility,Inflation data sparking crypto market caution,Negative,Negative,Negative
3/14/2025,BTC recovering to 83977 with strong buying,ETH rising to 1912 on DeFi optimism,BlackRock ETF reporting strong inflows,Positive,Positive,Positive
3/15/2025,BTC increasing to 84341 with ETF support,ETH gaining to 1937 amid staking surge,Trump forming crypto task force for regulation,Positive,Positive,Positive
3/16/2025,BTC decreasing to 82578 on weekend profit taking,ETH falling to 1888 as investors pause,Market cap dipping below 3 trillion,Negative,Negative,Negative
3/17/2025,BTC climbing to 84019 with ETF buying,ETH rising to 1926 on DeFi growth,SEC leadership change fueling crypto optimism,Positive,Positive,Positive
3/18/2025,BTC decreasing to 82719 amid regulatory talks,ETH increasing to 1933 with staking rewards,Altcoins stabilizing with modest gains,Negative,Positive,Neutral
3/19/2025,BTC increasing to 86841 as whales buy in,ETH jumping to 2057 on ETF speculation,DeFi sector seeing robust TVL growth,Positive,Positive,Positive
3/20/2025,BTC decreasing to 84208 after rally,ETH dipping to 1984 as profits taken,Trumps task force focusing on stablecoin rules,Negative,Negative,Negative
3/21/2025,BTC flat at 84073 amid regulatory wait,ETH decreasing to 1966 with low activity,Crypto exchanges reporting significant outflows,Neutral,Negative,Neutral
3/22/2025,BTC decreasing to 83841 as market pauses,ETH gaining to 1981 on DApp growth,BlackRock ETF seeing reduced inflows,Negative,Positive,Neutral
3/23/2025,BTC rising to 86077 with ETF optimism,ETH climbing to 2006 as staking grows,Trumps SEC pick facing senate scrutiny,Positive,Positive,Positive
3/24/2025,BTC climbing to 87490 as bulls regain control,ETH increasing to 2079 with market rally,Crypto market attracting strong ETF inflows,Positive,Positive,Positive
3/25/2025,BTC at 87404 holding strong,ETH at 2066 with market feeling unstoppable,Trumps crypto task force making waves,Positive,Positive,Positive
3/26/2025,BTC decreasing to 86912 with slight pullback,ETH falling to 2010 with profit taking,SEC regulatory talks heating up,Negative,Negative,Neutral
3/27/2025,BTC at 87228 with small recovery,ETH at 2004 with market feeling flat,Regulatory uncertainty keeping investors cautious,Neutral,Negative,Negative
3/28/2025,BTC decreasing to 84410 with concern,ETH dropping to 1897 with market turning bearish,DeFi sector taking a hit this week,Negative,Negative,Negative
