TradeID,DateTime,Pair,Type,Price,Quantity,TotalCost,ProfitLoss,Date,Day,Coin,TF,Position,Risk,PnL$,R/Factor,Complete,Notes
1,2025-03-11 08:00:00 UTC,BTC/USD,Buy,82921.1,0.000602,49.9,-10,3/11/2025,Tuesday,BTC,Daily,Long,10,-10,-1,Yes,Loss
2,2025-03-12 08:00:00 UTC,ETH/USD,Sell,1908.22,0.174,332.03,49.5,3/12/2025,Wednesday,ETH,Daily,Short,9.9,49.5,5,Yes,Win
3,2025-03-13 08:00:00 UTC,BTC/USD,Sell,81100.2,0.000614,49.8,-10.39,3/13/2025,Thursday,BTC,Daily,Short,10.39,-10.39,-1,Yes,Loss
4,2025-03-14 08:00:00 UTC,ETH/USD,Buy,1911.62,0.171,326.89,-10.29,3/14/2025,Friday,ETH,Daily,Long,10.29,-10.29,-1,Yes,Loss
5,2025-03-15 08:00:00 UTC,BTC/USD,Buy,84341.3,0.000592,49.96,50.95,3/15/2025,Saturday,BTC,Daily,Long,10.19,50.95,5,Yes,Win
6,2025-03-16 08:00:00 UTC,ETH/USD,Sell,1887.65,0.17,320.9,-10.69,3/16/2025,Sunday,ETH,Daily,Short,10.69,-10.69,-1,Yes,Loss
7,2025-03-17 08:00:00 UTC,BTC/USD,Sell,84019.1,0.000595,50,-10.58,3/17/2025,Monday,BTC,Daily,Short,10.58,-10.58,-1,Yes,Loss
8,2025-03-18 08:00:00 UTC,ETH/USD,Buy,1932.61,0.164,316.95,52.35,3/18/2025,Tuesday,ETH,Daily,Long,10.47,52.35,5,Yes,Win
9,2025-03-19 08:00:00 UTC,BTC/USD,Buy,86841,0.000576,50.03,-10.99,3/19/2025,Wednesday,BTC,Daily,Long,10.99,-10.99,-1,Yes,Loss
10,2025-03-20 08:00:00 UTC,ETH/USD,Sell,1983.57,0.159,315.33,-10.88,3/20/2025,Thursday,ETH,Daily,Short,10.88,-10.88,-1,Yes,Loss
11,2025-03-21 08:00:00 UTC,BTC/USD,Sell,84073.3,0.000595,50.02,53.85,3/21/2025,Friday,BTC,Daily,Short,10.77,53.85,5,Yes,Win
12,2025-03-22 08:00:00 UTC,ETH/USD,Buy,1980.8,0.16,317.73,-11.31,3/22/2025,Saturday,ETH,Daily,Long,11.31,-11.31,-1,Yes,Loss
13,2025-03-23 08:00:00 UTC,BTC/USD,Buy,86077.4,0.000581,50,-11.2,3/23/2025,Sunday,BTC,Daily,Long,11.2,-11.2,-1,Yes,Loss
14,2025-03-24 08:00:00 UTC,ETH/USD,Sell,2078.73,0.152,316.36,54.45,3/24/2025,Monday,ETH,Daily,Short,10.89,54.45,5,Yes,Win
15,2025-03-25 08:00:00 UTC,BTC/USD,Sell,87404,0.000572,50.01,-11.43,3/25/2025,Tuesday,BTC,Daily,Short,11.43,-11.43,-1,Yes,Loss
16,2025-03-26 08:00:00 UTC,ETH/USD,Buy,2009.59,0.157,315.51,-11.32,3/26/2025,Wednesday,ETH,Daily,Long,11.32,-11.32,-1,Yes,Loss
17,2025-03-27 08:00:00 UTC,BTC/USD,Buy,87228.2,0.000573,50,-11.21,3/27/2025,Thursday,BTC,Daily,Long,11.21,-11.21,-1,Yes,Loss
18,2025-03-28 08:00:00 UTC,ETH/USD,Sell,1896.69,0.166,314.85,55.05,3/28/2025,Friday,ETH,Daily,Short,11.01,55.05,5,Yes,Win
